Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,Time To Plate (sec) with Man on First,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y
7,0,0,2,'0-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Jamie Cabral,Wilgenis Alvarado,R,L,Offspeed,Lineout,Line Drive,Straightaway,10,-0.037822014,0.456189538
7,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Zane Skansi,Wilgenis Alvarado,R,L,Offspeed,Ball,,,10,0.331937939,0.116173319
7,1,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Zane Skansi,Wilgenis Alvarado,R,L,Offspeed,Ball,,,10,-0.809967799,0.645565661
7,1,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Zane Skansi,Wilgenis Alvarado,R,L,Fastball,Ball,,,10,-0.809967799,0.499229566
7,1,3,0,'3-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Zane Skansi,Wilgenis Alvarado,R,L,Fastball,Walk,,,10,-0.77734192,0.413149511
7,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Wilgenis Alvarado,L,L,Offspeed,Ball,,,110,-0.907845433,0.322765452
7,1,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Wilgenis Alvarado,L,L,Fastball,Ball,,,110,0.658196721,0.309853444
7,1,2,0,'2-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Wilgenis Alvarado,L,L,Offspeed,Called Strike,,,110,0.223185012,0.404541505
7,1,2,1,'2-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Wilgenis Alvarado,L,L,Fastball,Foul,,,110,-0.211826698,0.361501477
7,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Yosvani Penalver,Wilgenis Alvarado,L,L,Fastball,Single,Line Drive,Straightaway,110,0.114432084,0.395933499
7,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Wilgenis Alvarado,L,L,Fastball,Foul,,,111,0.49506733,0.533661588
7,1,0,1,'0-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Petey Kiefer,Wilgenis Alvarado,L,L,Fastball,Hit By Pitch,,,111,-1.038348946,0.735949719
7,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Fastball,Ball,,,111,0.103556792,0.912413833
7,1,1,0,'1-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Fastball,Called Strike,,,111,0.049180328,0.5508776
7,1,1,1,'1-1,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Fastball,Swinging Strike,,,111,0.038305035,0.507837572
7,1,1,2,'1-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Offspeed,Ball,,,111,-0.625087822,0.073133291
7,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Fastball,Foul,,,111,-0.113949063,0.421757516
7,1,2,2,'2-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Offspeed,Ball,,,111,-0.864344262,0.159213347
7,1,3,2,'3-2,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Mateo Zeppieri,Ryan Capuano,L,R,Fastball,Walk,,,111,-0.016071429,0.873677808
7,1,0,0,'0-0,2026-05-10,Kitchener Panthers,Toronto Maple Leafs,,Rafael Gross,Ryan Capuano,R,R,Fastball,Foul,,,111,-0.103073771,0.503533569
